Date,Team,xG,xA,xPTS,match_or_not
26/02/2022,Manchester City,1.93,0.77,2.35,1
26/02/2022,Crystal Palace,1.04,0.26,2.14,1
26/02/2022,Burnley,0.26,1.04,0.55,1
26/02/2022,Manchester United,2.41,0.44,2.68,1
26/02/2022,Watford,0.44,2.41,0.21,1
26/02/2022,Everton,0.77,1.93,0.45,1
26/02/2022,Brighton,0.63,1.30,0.70,1
26/02/2022,Brentford,0.49,2.25,0.30,1
26/02/2022,Leeds,1.90,2.47,1.01,1
27/02/2022,West Ham,1.62,0.89,1.99,1
27/02/2022,Wolverhampton Wanderers,0.89,1.62,0.75,1
